title,location,price,venue_link,address,is_multiple_court,court_count
"Pro World Talent Pickleball | 4 Bunglows, Andheri (West)",Mumbai,₹800,https://hudle.in/venues/pro-world-talent-pickleball-4-bunglows-andheri-west/455484,"Karmveer Sports Complex, RTO road, Four Bungalows, Near Kokilaben Hospital, Andheri (West), Mumbai - 400053",FALSE,1
Maniac Pickleball Arena | Vile Parle (West) | GTC,Mumbai,₹300,https://hudle.in/venues/maniac-pickleball-arena-vile-parle-west-gtc/987643,"I-One Terrace, Chandan Apartments, Swami Vivekananda Road, near Golden Tobacco, Indira Nagar, Vile Parle West, Mumbai.",FALSE,1
Maniac x Players Pickleball Academy | Malad,Mumbai,₹250,https://hudle.in/venues/players-x-maniac-pickleball-basketball-academy-malad/876806,"Inside players turf, Opposite Decathlon, Next to Players turf, New Link road, Malad West, Mumbai",TRUE,5
TSG Sports Arena | Willingdon Catholic Gymkhana,Mumbai,₹700,https://hudle.in/venues/tsg-sports-arena-willingdon-catholic-gymkhana/687043,"Willingdon Catholic Gymkhana, Church Ave, Willingdon, Santacruz West, Mumbai.",TRUE,4
Pickle Partners | Sahara Star,Mumbai,₹300,https://hudle.in/venues/pickle-partners-sahara-star/429011,"Sahara Star Hotel, Nehru Rd, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",TRUE,2
Victory Pickle+ | Celebrations Sports Club,Mumbai,₹500,https://hudle.in/venues/victory-pickle-celebrations-sports-club/247238,"Celebration Sports Club, Garden No 5 Andheri West Lokhandwala Complex 400053",TRUE,5
Don Bosco Pickleball Centre | Matunga East,Mumbai,₹600,https://hudle.in/venues/don-bosco-pickleball-centre-matunga-east/391561,"Gate 10, Don Bosco High School, Nathalal Parekh Marg, Matunga, 400019",TRUE,4
TSG X Global Sports Pickleball Centre | SVIS School Kandivali (West),Mumbai,₹900,https://hudle.in/venues/global-sports-pickleball-centre-svis-school-kandivali-west/446434,"MG Cross Road No. 1, Kandivali, Gokul Nagari, Kandivali West, Mumbai.",TRUE,3
The Cheddanagar Gymkhana - ISRAD | Pickleball,Mumbai,₹450,https://hudle.in/venues/cheddanagar-gymkhana/614633,"Chembur West, Sector 3, Chedda Nagar, Mumbai.",TRUE,3
Global Sports X TSG Pickleball Centre | Balkanji Bari,Mumbai,₹1200,https://hudle.in/venues/global-sports-pickleball-centre-balkanji-bari/760372,"Santacruz West, Juhu Tara Rd, GOI Staff Colony, Mumbai, Maharashtra 400054",TRUE,4
Padel 360 | Worli,Mumbai,₹1225,https://hudle.in/venues/padel-360-worli/496598,"Oricon Enterprises Ltd. 1076, Dr. E. Moses Road, Worli,, Worli Naka, Upper Worli, Worli, Mumbai, Maharashtra 400018",TRUE,2
Maniac Pickleball Arena | Andheri West,Mumbai,₹275,https://hudle.in/venues/maniac-pickleball-basketball-arena-andheri-west/600616,"OES International School, Near Infinity Mall, Behind Lotus Petrol Pump, Andheri West, Mumbai.",TRUE,3
Pickle Partners | Heera Panna Mall,Mumbai,₹300,https://hudle.in/venues/pickle-partners-heera-panna-mall/960306,"3rd Floor Terrace, Heera Panna Mall, Oshiwara Police Station Rd, Mhada Colony, Andheri West, Mumbai.",TRUE,3
PSE Pickle + | Chembur,Mumbai,₹325,https://hudle.in/venues/pse-pickle-plus-chembur/832112,"Jawahar Vidhya Bhavan Terrace, 25, Tata Colony Rd, Wadavali Village, RCF Colony, Chembur, Mumbai.",TRUE,3
CSM Sports Complex | Andheri West,Mumbai,₹150,https://hudle.in/venues/csm-sports-complex-andheri-west/488222,"Chhatrapati Shivaji Maharaj Sports Complex, Veera Desai Rd, Prathamesh Complex, Andheri West",TRUE,2
Willingdon Outdoor Sports Arena | Maali Khata,Mumbai,₹200,https://hudle.in/venues/willingdon-sports-club/539638,"Willingdon Outdoor Sports Arena at the Maali Khata, Bodyguard Lane, Haji Ali, Mumbai 400 011",FALSE,1
Maks Pickleball | Mihir Sen Sports Complex (Indoor),Mumbai,₹400,https://hudle.in/venues/maks-pickleball-dahisar/697092,"Mihir Sen Sports Complex, Near LODHA AQUA, opp. Central Mall, Pandurang Wadi, Mahajan Wadi, Mira Road East, Mira Bhayandar, Maharashtra 401107",FALSE,1
Torba Pickleball Centre,Mumbai,₹100,https://hudle.in/venues/torba-pickleball-centre/650524,"Torba, Bandra, St. Anne's Basement, Nargis Dutt Road, Pali Hill, Bandra West.",TRUE,4
Global Sports Pickleball Center | Peninsula Corporate Park,Mumbai,₹400,https://hudle.in/venues/global-sports-pickleball-center-pcp-condiminium/925673,"Peninsula Corporate park, Ganapatrao Kadam Marg, Lower Parel West, Mumbai, Maharashtra 400013",FALSE,1
Sportzella Pickleball Center,Mumbai,₹100,https://hudle.in/venues/sportzella-pickleball/133062,"Sportzella Turf, Aaram Society Rd, Hind Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055",TRUE,2
Emma Sports Academy | Powai,Mumbai,₹375,https://hudle.in/venues/emma-sports-academy-powai/856926,"Plot no.103, Behind Hiranandani Hospital Road, Hariom Nagar, Ramabai Ambedkar Nagar, Powai, Mumbai.",TRUE,4
Trinity Sports Pickleball | Bandra,Mumbai,₹375,https://hudle.in/venues/trinity-sports-pickleball/186840,"Khar Danda Centre, Plot No. 308 & 423 Off Carter Road, YMCA Road, near Cafe Coffee Day, Khar Danda, Mumbai",TRUE,2
Manohar Joshi Pickleball Court,Mumbai,₹700,https://hudle.in/venues/manohar-joshi-pickleball-court/297284,"Manohar Joshi College, Near Maharashtra Nature Park, PMGP Colony, Sion East, Mumbai 400017",FALSE,1
Global Sports Pickleball Center | Juhu,Mumbai,₹250,https://hudle.in/venues/the-pickleball-company-by-global-sports-juhu/518657,"N A. Ahuja Marg, Near Ritambhara College, Juhu, Mumbai - 400049",FALSE,1
Maks Pickleball | Mira Road,Mumbai,₹75,https://hudle.in/venues/maks-pickleball-mira-road/919815,"Maks Pickleball, Near RBK School, Beverly Park, Mira Road East. Maharastra - 401107",TRUE,3
Global Sports Pickleball Center | NSM School,Mumbai,₹450,https://hudle.in/venues/global-sports-pickleball-centre-nsm-school-vile-parle-east/122290,"NSM School, Dixit Road, Vile Parle East, near Ashish Hospital",FALSE,1
The Cricket Club Of India,Mumbai,₹200,https://hudle.in/venues/the-cricket-club-of-india/180016,"Stadium House, Churchgate, Mumbai 400020",TRUE,5
Global Sports Pickleball Center | Bandra West,Mumbai,₹450,https://hudle.in/venues/global-sports-pickleball-center-bandra-west/612250,"33rd Rd, Opp. Apsara Market, Bandra West, Maharashtra 400050",TRUE,3
Global Sports Pickleball Center | Goregaon West,Mumbai,₹300,https://hudle.in/venues/the-pickleball-company-by-global-sports-goregaon-west/127710,"Stellar World School, Off New Link Rd, Prarthana Society, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104",FALSE,1
